LogBIO,PEOE_VSAx3,a_nBr,SlogP_VSA5,RPC-
6.4700050000000005,48.077671,0.0,26.292875,0.120979
6.22,48.077671,0.0,61.676743,0.1175
6.32,48.077671,0.0,61.676743,0.10704000000000001
5.56,48.077671,0.0,26.292875,0.121249
4.68,48.077671,0.0,26.292875,0.13939300000000002
3.46,56.696681999999996,0.0,26.292875,0.197812
6.149997,48.077671,0.0,61.676743,0.1175
6.0999989999999995,48.077671,0.0,61.676743,0.1175
6.24,48.077671,0.0,61.676743,0.1175
6.350004,48.077671,1.0,29.34798,0.122637
4.92,48.077671,0.0,45.161282,0.104001
6.4700050000000005,48.077671,0.0,61.676743,0.1175
5.5999989999999995,48.077671,0.0,26.292875,0.12069
4.15,48.077671,3.0,54.326595,0.106992
3.09,48.077671,0.0,29.478451,0.174861
4.82,48.077671,0.0,26.292875,0.13939300000000002
3.39,48.077671,0.0,26.292875,0.197812
6.04,48.077671,0.0,26.292875,0.121249
5.16,48.077671,0.0,45.161282,0.104001
6.069999,48.077671,0.0,61.676743,0.1175
2.83,48.077671,0.0,45.161282,0.10237
2.6,48.077671,0.0,26.292875,0.11704300000000001
4.19,48.077671,0.0,45.161282,0.119067
6.0,48.077671,0.0,26.292875,0.13939300000000002
5.710001,48.077671,0.0,26.292875,0.13939300000000002
6.8500119999999995,56.696681999999996,0.0,61.676743,0.1175
6.13,48.077671,0.0,26.292875,0.10369600000000001
6.540005000000001,48.077671,0.0,26.292875,0.120979
6.0999989999999995,48.077671,0.0,61.676743,0.1175
6.299998,48.077671,0.0,26.292875,0.111304
5.0,48.077671,0.0,45.161282,0.104001
6.399997,48.077671,0.0,26.292875,0.121249
6.6799990000000005,48.077671,0.0,26.292875,0.121813
6.37,48.077671,0.0,26.292875,0.105617
5.17,48.077671,0.0,26.292875,0.13939300000000002
6.570005999999999,48.077671,0.0,26.292875,0.111304
5.990001,39.458656,0.0,45.161282,0.130902
6.290001,48.077671,0.0,26.292875,0.10369600000000001
6.429994000000001,48.077671,1.0,29.34798,0.122637
5.23,48.077671,0.0,26.292875,0.121939
2.69,48.077671,0.0,26.292875,0.197812
4.4,48.077671,0.0,80.545151,0.102301
4.4,48.077671,0.0,64.86232,0.10743
6.09,48.077671,0.0,45.161282,0.104001
6.009999,48.077671,0.0,80.545151,0.102301
4.26,48.077671,0.0,45.161282,0.119067
2.47,48.077671,0.0,45.161282,0.154799
6.250001,48.077671,0.0,61.676743,0.1175
3.48,48.077671,0.0,26.292875,0.197812
6.7999979999999995,48.077671,0.0,26.292875,0.121813
6.149997,48.077671,0.0,26.292875,0.121249
3.22,48.077671,0.0,26.292875,0.197812
5.800001,48.077671,0.0,26.292875,0.121249
3.52,48.077671,0.0,26.292875,0.197812
6.22,48.077671,0.0,61.676743,0.1175
6.37,48.077671,0.0,26.292875,0.121249
4.097,39.458656,0.0,45.161282,0.13639300000000001
2.76,48.077671,0.0,26.292875,0.197812
3.788,52.65098199999999,0.0,45.161282,0.13639300000000001
5.1,48.077671,0.0,45.161282,0.10513
2.94,48.077671,0.0,26.292875,0.197812
4.41,48.077671,0.0,26.292875,0.13939300000000002
6.04,48.077671,0.0,26.292875,0.121249
6.260001,48.077671,0.0,26.292875,0.105617
4.22,48.077671,0.0,45.161282,0.10513
6.720994999999999,36.887108000000005,0.0,26.292875,0.128499
6.4700050000000005,48.077671,0.0,26.292875,0.121249
6.0999989999999995,48.077671,0.0,26.292875,0.120979
6.009999,48.077671,0.0,26.292875,0.10369600000000001
6.8500119999999995,48.077671,0.0,26.292875,0.121939
6.519993,48.077671,0.0,26.292875,0.121249
5.13,48.077671,0.0,26.292875,0.121939
3.55,48.077671,0.0,45.161282,0.163745
6.139998,48.077671,0.0,26.292875,0.10369600000000001
6.3399980000000005,48.077671,1.0,29.34798,0.122637
6.819989,48.077671,0.0,26.292875,0.121813
6.399997,48.077671,0.0,61.676743,0.1175
6.0,39.458656,0.0,45.161282,0.130902
6.540005000000001,48.077671,0.0,26.292875,0.121249
6.519993,48.077671,0.0,26.292875,0.111304
6.620006,48.077671,0.0,26.292875,0.111304
6.04,48.077671,1.0,29.34798,0.122637
6.0999989999999995,48.077671,0.0,61.676743,0.1175
3.37,48.077671,0.0,45.161282,0.163745
6.490005,48.077671,0.0,61.676743,0.1175
5.949999,39.458656,0.0,45.161282,0.130902
5.43,48.077671,0.0,26.292875,0.12069
4.519993,48.077671,0.0,61.676743,0.1175
5.09,48.077671,0.0,26.292875,0.13939300000000002
4.4,48.077671,0.0,26.292875,0.121249
4.6,48.077671,3.0,89.710464,0.10406199999999999
6.069999,48.077671,0.0,26.292875,0.121249
6.22,48.077671,0.0,26.292875,0.121249
4.071,36.887108000000005,0.0,26.292875,0.214214
5.39,48.077671,0.0,26.292875,0.121939
5.31,48.077671,0.0,45.161282,0.119067
